"","graph.type","degree","p","power","mu","fw","bw","size","graph.no","lambda_0","lambda_1","lambda_2"
"169","sbm",NA,NA,NA,0.1,NA,NA,500,19,-1.5,0.5,0.1
"170","sbm",NA,NA,NA,0.2,NA,NA,500,20,-1.5,0.5,0.1
"171","sbm",NA,NA,NA,0.3,NA,NA,500,21,-1.5,0.5,0.1
"172","sbm",NA,NA,NA,0.1,NA,NA,1000,22,-1.5,0.5,0.1
"173","sbm",NA,NA,NA,0.2,NA,NA,1000,23,-1.5,0.5,0.1
"174","sbm",NA,NA,NA,0.3,NA,NA,1000,24,-1.5,0.5,0.1
"175","sbm",NA,NA,NA,0.1,NA,NA,5000,25,-1.5,0.5,0.1
"176","sbm",NA,NA,NA,0.2,NA,NA,5000,26,-1.5,0.5,0.1
"177","sbm",NA,NA,NA,0.3,NA,NA,5000,27,-1.5,0.5,0.1
"178","forest-fire",NA,NA,NA,NA,0.32,0.33,500,28,-1.5,0.5,0.1
"179","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,29,-1.5,0.5,0.1
"180","forest-fire",NA,NA,NA,NA,0.37,0.35,5000,30,-1.5,0.5,0.1
"181","small-world",5,0.03,NA,NA,NA,NA,500,1,-1.5,0.75,0.1
"182","small-world",5,0.05,NA,NA,NA,NA,500,2,-1.5,0.75,0.1
"183","small-world",5,0.1,NA,NA,NA,NA,500,3,-1.5,0.75,0.1
"184","small-world",5,0.03,NA,NA,NA,NA,1000,4,-1.5,0.75,0.1
"185","small-world",5,0.05,NA,NA,NA,NA,1000,5,-1.5,0.75,0.1
"186","small-world",5,0.1,NA,NA,NA,NA,1000,6,-1.5,0.75,0.1
"187","small-world",5,0.03,NA,NA,NA,NA,5000,7,-1.5,0.75,0.1
"188","small-world",5,0.05,NA,NA,NA,NA,5000,8,-1.5,0.75,0.1
"189","small-world",5,0.1,NA,NA,NA,NA,5000,9,-1.5,0.75,0.1
"190","barabasi-albert",NA,NA,0.1,NA,NA,NA,500,10,-1.5,0.75,0.1
"191","barabasi-albert",NA,NA,0.3,NA,NA,NA,500,11,-1.5,0.75,0.1
"192","barabasi-albert",NA,NA,0.5,NA,NA,NA,500,12,-1.5,0.75,0.1
"193","barabasi-albert",NA,NA,0.1,NA,NA,NA,1000,13,-1.5,0.75,0.1
"194","barabasi-albert",NA,NA,0.3,NA,NA,NA,1000,14,-1.5,0.75,0.1
"195","barabasi-albert",NA,NA,0.5,NA,NA,NA,1000,15,-1.5,0.75,0.1
"196","barabasi-albert",NA,NA,0.1,NA,NA,NA,5000,16,-1.5,0.75,0.1
"197","barabasi-albert",NA,NA,0.3,NA,NA,NA,5000,17,-1.5,0.75,0.1
"198","barabasi-albert",NA,NA,0.5,NA,NA,NA,5000,18,-1.5,0.75,0.1
"199","sbm",NA,NA,NA,0.1,NA,NA,500,19,-1.5,0.75,0.1
"200","sbm",NA,NA,NA,0.2,NA,NA,500,20,-1.5,0.75,0.1
"201","sbm",NA,NA,NA,0.3,NA,NA,500,21,-1.5,0.75,0.1
"202","sbm",NA,NA,NA,0.1,NA,NA,1000,22,-1.5,0.75,0.1
"203","sbm",NA,NA,NA,0.2,NA,NA,1000,23,-1.5,0.75,0.1
"204","sbm",NA,NA,NA,0.3,NA,NA,1000,24,-1.5,0.75,0.1
"205","sbm",NA,NA,NA,0.1,NA,NA,5000,25,-1.5,0.75,0.1
"206","sbm",NA,NA,NA,0.2,NA,NA,5000,26,-1.5,0.75,0.1
"207","sbm",NA,NA,NA,0.3,NA,NA,5000,27,-1.5,0.75,0.1
"208","forest-fire",NA,NA,NA,NA,0.32,0.33,500,28,-1.5,0.75,0.1
"209","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,29,-1.5,0.75,0.1
"210","forest-fire",NA,NA,NA,NA,0.37,0.35,5000,30,-1.5,0.75,0.1
"211","small-world",5,0.03,NA,NA,NA,NA,500,1,-1.5,1,0.1
"212","small-world",5,0.05,NA,NA,NA,NA,500,2,-1.5,1,0.1
"213","small-world",5,0.1,NA,NA,NA,NA,500,3,-1.5,1,0.1
"214","small-world",5,0.03,NA,NA,NA,NA,1000,4,-1.5,1,0.1
"215","small-world",5,0.05,NA,NA,NA,NA,1000,5,-1.5,1,0.1
"216","small-world",5,0.1,NA,NA,NA,NA,1000,6,-1.5,1,0.1
"217","small-world",5,0.03,NA,NA,NA,NA,5000,7,-1.5,1,0.1
"218","small-world",5,0.05,NA,NA,NA,NA,5000,8,-1.5,1,0.1
"219","small-world",5,0.1,NA,NA,NA,NA,5000,9,-1.5,1,0.1
"220","barabasi-albert",NA,NA,0.1,NA,NA,NA,500,10,-1.5,1,0.1
"221","barabasi-albert",NA,NA,0.3,NA,NA,NA,500,11,-1.5,1,0.1
"222","barabasi-albert",NA,NA,0.5,NA,NA,NA,500,12,-1.5,1,0.1
"223","barabasi-albert",NA,NA,0.1,NA,NA,NA,1000,13,-1.5,1,0.1
"224","barabasi-albert",NA,NA,0.3,NA,NA,NA,1000,14,-1.5,1,0.1
"225","barabasi-albert",NA,NA,0.5,NA,NA,NA,1000,15,-1.5,1,0.1
"226","barabasi-albert",NA,NA,0.1,NA,NA,NA,5000,16,-1.5,1,0.1
"227","barabasi-albert",NA,NA,0.3,NA,NA,NA,5000,17,-1.5,1,0.1
"228","barabasi-albert",NA,NA,0.5,NA,NA,NA,5000,18,-1.5,1,0.1
"229","sbm",NA,NA,NA,0.1,NA,NA,500,19,-1.5,1,0.1
"230","sbm",NA,NA,NA,0.2,NA,NA,500,20,-1.5,1,0.1
"231","sbm",NA,NA,NA,0.3,NA,NA,500,21,-1.5,1,0.1
"232","sbm",NA,NA,NA,0.1,NA,NA,1000,22,-1.5,1,0.1
"233","sbm",NA,NA,NA,0.2,NA,NA,1000,23,-1.5,1,0.1
"234","sbm",NA,NA,NA,0.3,NA,NA,1000,24,-1.5,1,0.1
"235","sbm",NA,NA,NA,0.1,NA,NA,5000,25,-1.5,1,0.1
"236","sbm",NA,NA,NA,0.2,NA,NA,5000,26,-1.5,1,0.1
"237","sbm",NA,NA,NA,0.3,NA,NA,5000,27,-1.5,1,0.1
"238","forest-fire",NA,NA,NA,NA,0.32,0.33,500,28,-1.5,1,0.1
"239","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,29,-1.5,1,0.1
"240","forest-fire",NA,NA,NA,NA,0.37,0.35,5000,30,-1.5,1,0.1
"241","small-world",5,0.03,NA,NA,NA,NA,500,1,-1.5,0.25,0.5
"242","small-world",5,0.05,NA,NA,NA,NA,500,2,-1.5,0.25,0.5
"243","small-world",5,0.1,NA,NA,NA,NA,500,3,-1.5,0.25,0.5
"244","small-world",5,0.03,NA,NA,NA,NA,1000,4,-1.5,0.25,0.5
"245","small-world",5,0.05,NA,NA,NA,NA,1000,5,-1.5,0.25,0.5
"246","small-world",5,0.1,NA,NA,NA,NA,1000,6,-1.5,0.25,0.5
"247","small-world",5,0.03,NA,NA,NA,NA,5000,7,-1.5,0.25,0.5
"248","small-world",5,0.05,NA,NA,NA,NA,5000,8,-1.5,0.25,0.5
"249","small-world",5,0.1,NA,NA,NA,NA,5000,9,-1.5,0.25,0.5
"250","barabasi-albert",NA,NA,0.1,NA,NA,NA,500,10,-1.5,0.25,0.5
"251","barabasi-albert",NA,NA,0.3,NA,NA,NA,500,11,-1.5,0.25,0.5
"252","barabasi-albert",NA,NA,0.5,NA,NA,NA,500,12,-1.5,0.25,0.5
"253","barabasi-albert",NA,NA,0.1,NA,NA,NA,1000,13,-1.5,0.25,0.5
"254","barabasi-albert",NA,NA,0.3,NA,NA,NA,1000,14,-1.5,0.25,0.5
"255","barabasi-albert",NA,NA,0.5,NA,NA,NA,1000,15,-1.5,0.25,0.5
"256","barabasi-albert",NA,NA,0.1,NA,NA,NA,5000,16,-1.5,0.25,0.5
"257","barabasi-albert",NA,NA,0.3,NA,NA,NA,5000,17,-1.5,0.25,0.5
"258","barabasi-albert",NA,NA,0.5,NA,NA,NA,5000,18,-1.5,0.25,0.5
"259","sbm",NA,NA,NA,0.1,NA,NA,500,19,-1.5,0.25,0.5
"260","sbm",NA,NA,NA,0.2,NA,NA,500,20,-1.5,0.25,0.5
"261","sbm",NA,NA,NA,0.3,NA,NA,500,21,-1.5,0.25,0.5
"262","sbm",NA,NA,NA,0.1,NA,NA,1000,22,-1.5,0.25,0.5
"263","sbm",NA,NA,NA,0.2,NA,NA,1000,23,-1.5,0.25,0.5
"264","sbm",NA,NA,NA,0.3,NA,NA,1000,24,-1.5,0.25,0.5
"265","sbm",NA,NA,NA,0.1,NA,NA,5000,25,-1.5,0.25,0.5
"266","sbm",NA,NA,NA,0.2,NA,NA,5000,26,-1.5,0.25,0.5
"267","sbm",NA,NA,NA,0.3,NA,NA,5000,27,-1.5,0.25,0.5
"268","forest-fire",NA,NA,NA,NA,0.32,0.33,500,28,-1.5,0.25,0.5
"269","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,29,-1.5,0.25,0.5
"270","forest-fire",NA,NA,NA,NA,0.37,0.35,5000,30,-1.5,0.25,0.5
"271","small-world",5,0.03,NA,NA,NA,NA,500,1,-1.5,0.5,0.5
"272","small-world",5,0.05,NA,NA,NA,NA,500,2,-1.5,0.5,0.5
"273","small-world",5,0.1,NA,NA,NA,NA,500,3,-1.5,0.5,0.5
"274","small-world",5,0.03,NA,NA,NA,NA,1000,4,-1.5,0.5,0.5
"275","small-world",5,0.05,NA,NA,NA,NA,1000,5,-1.5,0.5,0.5
"276","small-world",5,0.1,NA,NA,NA,NA,1000,6,-1.5,0.5,0.5
"277","small-world",5,0.03,NA,NA,NA,NA,5000,7,-1.5,0.5,0.5
"278","small-world",5,0.05,NA,NA,NA,NA,5000,8,-1.5,0.5,0.5
"279","small-world",5,0.1,NA,NA,NA,NA,5000,9,-1.5,0.5,0.5
"280","barabasi-albert",NA,NA,0.1,NA,NA,NA,500,10,-1.5,0.5,0.5
"281","barabasi-albert",NA,NA,0.3,NA,NA,NA,500,11,-1.5,0.5,0.5
